,text,username,tweet_id,timestamp,hashtags,screen_name,retweets,likes,uni_handle,compound,Sentiment,score,retweets_n,likes_n,engagement_score,clean_tweets,tweet_tokens,pos,nouns,irrelevance,engagement,sentiment_score
0,"@iiitb_official director, prof sadagopan welcomed dr. marjorie vanbaelinghem,  consul general, to explore new avenues of #collaboration in #academic #exchanges. #startup #digital #affairs
#studyinfrance
@ifinde @franceinindia @cfindia @karthikkittupic.twitter.com/v48duql3tw","Consulate General of France, Bangalore",1210499859700011008,2019-12-27 09:57:11,"['collaboration', 'academic', 'exchanges', 'startup', 'digital', 'affairs', 'studyinFrance']",BangaloreFrance,0.0,0.0,,0.34,Positive,4,0.0,0.0,0.0,@IIITB_official Director Prof Sadagopan welcomed Dr Marjorie Vanbaelinghem Consul General to explore new avenues of #collaboration in #academic #exchanges #startup #digital #affairs #studyinFrance @IFInde @FranceinIndia @cfindia @karthikkittupic.twitter.com/v48DuqL3tW,"['iiitb_official', 'director', 'prof', 'sadagopan', 'welcomed', 'dr', 'marjorie', 'vanbaelinghem', 'consul', 'general', 'explore', 'new', 'avenues', 'collaboration', 'academic', 'exchanges', 'startup', 'digital', 'affairs', 'studyinfrance', 'ifinde', 'franceinindia', 'cfindia', 'karthikkittupic', 'twitter', 'com', 'v48duql3tw']","[('iiitb_official', 'JJ'), ('director', 'NN'), ('prof', 'NN'), ('sadagopan', 'NN'), ('welcomed', 'VBD'), ('dr', 'JJ'), ('marjorie', 'NN'), ('vanbaelinghem', 'NN'), ('consul', 'NN'), ('general', 'JJ'), ('explore', 'RB'), ('new', 'JJ'), ('avenues', 'NNS'), ('collaboration', 'VBP'), ('academic', 'JJ'), ('exchanges', 'NNS'), ('startup', 'VBP'), ('digital', 'JJ'), ('affairs', 'NNS'), ('studyinfrance', 'NN'), ('ifinde', 'JJ'), ('franceinindia', 'NN'), ('cfindia', 'NN'), ('karthikkittupic', 'NN'), ('twitter', 'NN'), ('com', 'NN'), ('v48duql3tw', 'NN')]","['director', 'prof', 'sadagopan', 'marjorie', 'vanbaelinghem', 'consul', 'avenues', 'exchanges', 'affairs', 'studyinfrance', 'franceinindia', 'cfindia', 'karthikkittupic', 'twitter', 'com', 'v48duql3tw']",0,0,4
1,"may the peace and blessings of christmas be yours; and may the coming year be filled with happiness, merry christmas 
#christmas #merrychristmas #iiitb #iiitb10100 #iiitbangalorepic.twitter.com/yxbwxuljrg",IIIT Bangalore,1209693257443110912,2019-12-25 04:32:02,"['Christmas', 'MerryChristmas', 'IIITB', 'IIITB10100', 'IIITBangalorepic']",IIITB_official,1.0,6.0,1.0,0.9337,Positive,5,0.0022935779816513763,0.0007870916961826052,0.1690983467463868,May the peace and blessings of Christmas be yours And may the coming year be filled with happiness Merry Christmas #Christmas #MerryChristmas #IIITB #IIITB10100 #IIITBangalorepic.twitter.com/YxBWXuLjRG,"['may', 'peace', 'blessings', 'christmas', 'may', 'coming', 'year', 'filled', 'happiness', 'merry', 'christmas', 'christmas', 'merrychristmas', 'iiitb', 'iiitb10100', 'iiitbangalorepic', 'twitter', 'com', 'yxbwxuljrg']","[('may', 'MD'), ('peace', 'VB'), ('blessings', 'NNS'), ('christmas', 'NNS'), ('may', 'MD'), ('coming', 'VBG'), ('year', 'NN'), ('filled', 'VBN'), ('happiness', 'NN'), ('merry', 'NN'), ('christmas', 'VBP'), ('christmas', 'NN'), ('merrychristmas', 'NN'), ('iiitb', 'NN'), ('iiitb10100', 'NN'), ('iiitbangalorepic', 'NN'), ('twitter', 'NN'), ('com', 'NN'), ('yxbwxuljrg', 'NN')]","['blessings', 'christmas', 'year', 'happiness', 'merry', 'christmas', 'merrychristmas', 'iiitb', 'iiitb10100', 'iiitbangalorepic', 'twitter', 'com', 'yxbwxuljrg']",0,1,3
2,"wishing everyone merry christmas & happy holidays. its been a busy year for us & more busy now building interesting features. stayed tuned for interesting news. 
#christmas #agritech #happyholidays #iiitb #ccamp @radiostud_io @iotracx @shyampurkpic.twitter.com/ptgrcis1aq",Agroblock,1209470538738913280,2019-12-24 13:47:01,"['christmas', 'agritech', 'happyholidays', 'iiitb', 'ccamp']",agroblock_io,0.0,1.0,,0.9442,Positive,5,0.0,0.00013118194936376755,0.005247277974550702,Wishing everyone Merry Christmas Happy holidays Its been a busy year for us more busy now building interesting features stayed tuned for interesting news #christmas #agritech #happyholidays #iiitb #ccamp @RadioStud_io @IoTracX @shyampurkpic.twitter.com/pTGrcis1Aq,"['wishing', 'everyone', 'merry', 'christmas', 'happy', 'holidays', 'busy', 'year', 'us', 'busy', 'building', 'interesting', 'features', 'stayed', 'tuned', 'interesting', 'news', 'christmas', 'agritech', 'happyholidays', 'iiitb', 'ccamp', 'radiostud_io', 'iotracx', 'shyampurkpic', 'twitter', 'com', 'ptgrcis1aq']","[('wishing', 'VBG'), ('everyone', 'NN'), ('merry', 'NN'), ('christmas', 'VBP'), ('happy', 'JJ'), ('holidays', 'NNS'), ('busy', 'JJ'), ('year', 'NN'), ('us', 'PRP'), ('busy', 'JJ'), ('building', 'VBG'), ('interesting', 'JJ'), ('features', 'NNS'), ('stayed', 'VBD'), ('tuned', 'VBD'), ('interesting', 'JJ'), ('news', 'NN'), ('christmas', 'NN'), ('agritech', 'NN'), ('happyholidays', 'VBZ'), ('iiitb', 'JJ'), ('ccamp', 'NN'), ('radiostud_io', 'NN'), ('iotracx', 'NN'), ('shyampurkpic', 'NN'), ('twitter', 'NN'), ('com', 'NN'), ('ptgrcis1aq', 'NN')]","['everyone', 'merry', 'holidays', 'year', 'features', 'news', 'christmas', 'agritech', 'ccamp', 'radiostud_io', 'iotracx', 'shyampurkpic', 'twitter', 'com', 'ptgrcis1aq']",0,0,5
3,our ph.d. student mr. shyam s.m. has been selected for the prestigious prime minister's doctoral fellowship offered jointly by serb and ficci. shyam joined iiitb in august 2018 to pursue ph.d. full time  under the supervision of prof. srinivas vivek. #iiitb #iiitb10100pic.twitter.com/vszzqr98s3,IIIT Bangalore,1209094761589592064,2019-12-23 12:53:49,"['IIITB', 'IIITB10100pic']",IIITB_official,5.0,12.0,1.0,0.0,Neutral,3,0.011467889908256881,0.0015741833923652105,0.7510407301900214,Our Ph.D student Mr Shyam S.M has been selected for the prestigious Prime Minister's doctoral fellowship offered jointly by SERB and FICCI Shyam joined IIITB in August 2018 to pursue Ph.D full time under the supervision of Prof Srinivas Vivek #IIITB #IIITB10100pic.twitter.com/Vszzqr98s3,"['ph', 'student', 'mr', 'shyam', 'selected', 'prestigious', 'prime', 'minister', 'doctoral', 'fellowship', 'offered', 'jointly', 'serb', 'ficci', 'shyam', 'joined', 'iiitb', 'august', '2018', 'pursue', 'ph', 'full', 'time', 'supervision', 'prof', 'srinivas', 'vivek', 'iiitb', 'iiitb10100pic', 'twitter', 'com', 'vszzqr98s3']","[('ph', 'JJ'), ('student', 'NN'), ('mr', 'NN'), ('shyam', 'NN'), ('selected', 'VBN'), ('prestigious', 'JJ'), ('prime', 'JJ'), ('minister', 'NN'), ('doctoral', 'JJ'), ('fellowship', 'NN'), ('offered', 'VBD'), ('jointly', 'RB'), ('serb', 'JJ'), ('ficci', 'NN'), ('shyam', 'NN'), ('joined', 'VBD'), ('iiitb', 'RB'), ('august', 'JJ'), ('2018', 'CD'), ('pursue', 'NN'), ('ph', 'CC'), ('full', 'JJ'), ('time', 'NN'), ('supervision', 'NN'), ('prof', 'NN'), ('srinivas', 'NN'), ('vivek', 'NN'), ('iiitb', 'NN'), ('iiitb10100pic', 'NN'), ('twitter', 'NN'), ('com', 'NN'), ('vszzqr98s3', 'NN')]","['student', 'mr', 'shyam', 'minister', 'fellowship', 'ficci', 'shyam', 'pursue', 'time', 'supervision', 'prof', 'srinivas', 'vivek', 'iiitb', 'iiitb10100pic', 'twitter', 'com', 'vszzqr98s3']",0,1,3
4,agroblock wishes kisan diwas to all the farmers who are the backbone of this country. lets work together bringing change in this sector. #kisandiwas #farmersday #agritech #blockchaintraceability #iiitb #ccamp @radiostud_io @iotracx @shyampurkpic.twitter.com/rfkadinoav,Agroblock,1209072927921958912,2019-12-23 11:27:04,"['kisandiwas', 'farmersday', 'agritech', 'blockchaintraceability', 'iiitb', 'ccamp']",agroblock_io,0.0,4.0,,0.1531,Positive,3,0.0,0.0005247277974550702,0.02098911189820281,AgroBlock wishes Kisan Diwas to all the farmers who are the backbone of this country Lets work together bringing change in this sector #kisandiwas #farmersday #agritech #blockchaintraceability #iiitb #ccamp @RadioStud_io @IoTracX @shyampurkpic.twitter.com/rfkadiNoaV,"['agroblock', 'wishes', 'kisan', 'diwas', 'farmers', 'backbone', 'country', 'lets', 'work', 'together', 'bringing', 'change', 'sector', 'kisandiwas', 'farmersday', 'agritech', 'blockchaintraceability', 'iiitb', 'ccamp', 'radiostud_io', 'iotracx', 'shyampurkpic', 'twitter', 'com', 'rfkadinoav']","[('agroblock', 'NN'), ('wishes', 'NNS'), ('kisan', 'VBP'), ('diwas', 'JJ'), ('farmers', 'NNS'), ('backbone', 'VBP'), ('country', 'NN'), ('lets', 'NNS'), ('work', 'VBP'), ('together', 'RB'), ('bringing', 'VBG'), ('change', 'NN'), ('sector', 'NN'), ('kisandiwas', 'NN'), ('farmersday', 'JJ'), ('agritech', 'JJ'), ('blockchaintraceability', 'NN'), ('iiitb', 'NN'), ('ccamp', 'NN'), ('radiostud_io', 'NN'), ('iotracx', 'NN'), ('shyampurkpic', 'NN'), ('twitter', 'NN'), ('com', 'NN'), ('rfkadinoav', 'NN')]","['agroblock', 'wishes', 'farmers', 'country', 'lets', 'change', 'sector', 'kisandiwas', 'blockchaintraceability', 'iiitb', 'ccamp', 'radiostud_io', 'iotracx', 'shyampurkpic', 'twitter', 'com', 'rfkadinoav']",0,1,3
5,superb #kohli #kohlidecadehttps://twitter.com/seervibharath/status/1208832913782894592 …,Harsh Dubey,1209069978479030272,2019-12-23 11:15:20,"['Kohli', 'kohlidecadehttps']",harsh_iiitb,0.0,0.0,,0.6249,Positive,5,0.0,0.0,0.0,Superb #Kohli # …,"['superb', 'kohli']","[('superb', 'NN'), ('kohli', 'NN')]","['superb', 'kohli']",0,0,5
6,"love your work, veena! you’re the best ... @andycoxall @edhermanufc @cpstudent",Gerard Shanahan,1208283808434274304,2019-12-21 07:11:23,[],gas3040,0.0,2.0,,0.8655,Positive,5,0.0,0.0002623638987275351,0.010494555949101404,Love your work Veena You’re the best .. @AndyCoxall @EdHermanufc @cpstudent,"['love', 'work', 'veena', 'best', 'andycoxall', 'edhermanufc', 'cpstudent']","[('love', 'NN'), ('work', 'NN'), ('veena', 'NN'), ('best', 'JJS'), ('andycoxall', 'NN'), ('edhermanufc', 'NN'), ('cpstudent', 'NN')]","['love', 'work', 'veena', 'andycoxall', 'edhermanufc', 'cpstudent']",0,0,5
7,"our last #gle for 2019, in my home city bangalore, comes to an end after many inspiring stories and equally inspired students. signing off for the year with a huge smile on my face, in anticipation of an equally exciting 2020.#gleleaders @kingsbschool @iiitb_official @deepakdjspic.twitter.com/3ualhmqvgl",Veena,1208184116614578176,2019-12-21 00:35:15,"['GLE', 'GLELeaders']",veena_haran,0.0,8.0,,0.9246,Positive,5,0.0,0.0010494555949101404,0.04197822379640562,Our last #GLE for 2019 in my home City Bangalore comes to an end after many inspiring stories and equally inspired students Signing off for the year with a huge smile on my face in anticipation of an equally exciting 2020.#GLELeaders @kingsbschool @IIITB_official @Deepakdjspic.twitter.com/3uaLHMqvGL,"['last', 'gle', '2019', 'home', 'city', 'bangalore', 'comes', 'end', 'many', 'inspiring', 'stories', 'equally', 'inspired', 'students', 'signing', 'year', 'huge', 'smile', 'face', 'anticipation', 'equally', 'exciting', '2020', 'gleleaders', 'kingsbschool', 'iiitb_official', 'deepakdjspic', 'twitter', 'com', '3ualhmqvgl']","[('last', 'JJ'), ('gle', 'NN'), ('2019', 'CD'), ('home', 'NN'), ('city', 'NN'), ('bangalore', 'NN'), ('comes', 'VBZ'), ('end', 'VBP'), ('many', 'JJ'), ('inspiring', 'VBG'), ('stories', 'NNS'), ('equally', 'RB'), ('inspired', 'JJ'), ('students', 'NNS'), ('signing', 'VBG'), ('year', 'NN'), ('huge', 'JJ'), ('smile', 'NN'), ('face', 'NN'), ('anticipation', 'NN'), ('equally', 'RB'), ('exciting', 'JJ'), ('2020', 'CD'), ('gleleaders', 'NNS'), ('kingsbschool', 'VBP'), ('iiitb_official', 'JJ'), ('deepakdjspic', 'NN'), ('twitter', 'NN'), ('com', 'NN'), ('3ualhmqvgl', 'CD')]","['gle', 'home', 'city', 'bangalore', 'stories', 'students', 'year', 'smile', 'face', 'anticipation', 'gleleaders', 'deepakdjspic', 'twitter', 'com']",0,1,5
8,but iiitb has 2000 students?,indian,1207827046862331904,2019-12-20 00:56:22,[],mkinthuk,0.0,0.0,,0.0,Neutral,3,0.0,0.0,0.0,But IIITB has 2000 students?,"['iiitb', '2000', 'students']","[('iiitb', 'NN'), ('2000', 'CD'), ('students', 'NNS')]","['iiitb', 'students']",0,0,3
9,"@iiitb_official director, prof sadagopan welcomed dr. marjorie vanbaelinghem,  consul general, to explore new avenues of #collaboration in #academic #exchanges. #startup #digital #affairs
#studyinfrance
@ifinde @franceinindia @cfindia @karthikkittupic.twitter.com/v48duql3tw","Consulate General of France, Bangalore",1210499859700011008,2019-12-27 09:57:11,"['collaboration', 'academic', 'exchanges', 'startup', 'digital', 'affairs', 'studyinFrance']",BangaloreFrance,0.0,0.0,,0.34,Positive,4,0.0,0.0,0.0,@IIITB_official Director Prof Sadagopan welcomed Dr Marjorie Vanbaelinghem Consul General to explore new avenues of #collaboration in #academic #exchanges #startup #digital #affairs #studyinFrance @IFInde @FranceinIndia @cfindia @karthikkittupic.twitter.com/v48DuqL3tW,"['iiitb_official', 'director', 'prof', 'sadagopan', 'welcomed', 'dr', 'marjorie', 'vanbaelinghem', 'consul', 'general', 'explore', 'new', 'avenues', 'collaboration', 'academic', 'exchanges', 'startup', 'digital', 'affairs', 'studyinfrance', 'ifinde', 'franceinindia', 'cfindia', 'karthikkittupic', 'twitter', 'com', 'v48duql3tw']","[('iiitb_official', 'JJ'), ('director', 'NN'), ('prof', 'NN'), ('sadagopan', 'NN'), ('welcomed', 'VBD'), ('dr', 'JJ'), ('marjorie', 'NN'), ('vanbaelinghem', 'NN'), ('consul', 'NN'), ('general', 'JJ'), ('explore', 'RB'), ('new', 'JJ'), ('avenues', 'NNS'), ('collaboration', 'VBP'), ('academic', 'JJ'), ('exchanges', 'NNS'), ('startup', 'VBP'), ('digital', 'JJ'), ('affairs', 'NNS'), ('studyinfrance', 'NN'), ('ifinde', 'JJ'), ('franceinindia', 'NN'), ('cfindia', 'NN'), ('karthikkittupic', 'NN'), ('twitter', 'NN'), ('com', 'NN'), ('v48duql3tw', 'NN')]","['director', 'prof', 'sadagopan', 'marjorie', 'vanbaelinghem', 'consul', 'avenues', 'exchanges', 'affairs', 'studyinfrance', 'franceinindia', 'cfindia', 'karthikkittupic', 'twitter', 'com', 'v48duql3tw']",0,0,4
10,"may the peace and blessings of christmas be yours; and may the coming year be filled with happiness, merry christmas 
#christmas #merrychristmas #iiitb #iiitb10100 #iiitbangalorepic.twitter.com/yxbwxuljrg",IIIT Bangalore,1209693257443110912,2019-12-25 04:32:02,"['Christmas', 'MerryChristmas', 'IIITB', 'IIITB10100', 'IIITBangalorepic']",IIITB_official,1.0,6.0,1.0,0.9337,Positive,5,0.0022935779816513763,0.0007870916961826052,0.1690983467463868,May the peace and blessings of Christmas be yours And may the coming year be filled with happiness Merry Christmas #Christmas #MerryChristmas #IIITB #IIITB10100 #IIITBangalorepic.twitter.com/YxBWXuLjRG,"['may', 'peace', 'blessings', 'christmas', 'may', 'coming', 'year', 'filled', 'happiness', 'merry', 'christmas', 'christmas', 'merrychristmas', 'iiitb', 'iiitb10100', 'iiitbangalorepic', 'twitter', 'com', 'yxbwxuljrg']","[('may', 'MD'), ('peace', 'VB'), ('blessings', 'NNS'), ('christmas', 'NNS'), ('may', 'MD'), ('coming', 'VBG'), ('year', 'NN'), ('filled', 'VBN'), ('happiness', 'NN'), ('merry', 'NN'), ('christmas', 'VBP'), ('christmas', 'NN'), ('merrychristmas', 'NN'), ('iiitb', 'NN'), ('iiitb10100', 'NN'), ('iiitbangalorepic', 'NN'), ('twitter', 'NN'), ('com', 'NN'), ('yxbwxuljrg', 'NN')]","['blessings', 'christmas', 'year', 'happiness', 'merry', 'christmas', 'merrychristmas', 'iiitb', 'iiitb10100', 'iiitbangalorepic', 'twitter', 'com', 'yxbwxuljrg']",0,1,3
11,"wishing everyone merry christmas & happy holidays. its been a busy year for us & more busy now building interesting features. stayed tuned for interesting news. 
#christmas #agritech #happyholidays #iiitb #ccamp @radiostud_io @iotracx @shyampurkpic.twitter.com/ptgrcis1aq",Agroblock,1209470538738913280,2019-12-24 13:47:01,"['christmas', 'agritech', 'happyholidays', 'iiitb', 'ccamp']",agroblock_io,0.0,1.0,,0.9442,Positive,5,0.0,0.00013118194936376755,0.005247277974550702,Wishing everyone Merry Christmas Happy holidays Its been a busy year for us more busy now building interesting features stayed tuned for interesting news #christmas #agritech #happyholidays #iiitb #ccamp @RadioStud_io @IoTracX @shyampurkpic.twitter.com/pTGrcis1Aq,"['wishing', 'everyone', 'merry', 'christmas', 'happy', 'holidays', 'busy', 'year', 'us', 'busy', 'building', 'interesting', 'features', 'stayed', 'tuned', 'interesting', 'news', 'christmas', 'agritech', 'happyholidays', 'iiitb', 'ccamp', 'radiostud_io', 'iotracx', 'shyampurkpic', 'twitter', 'com', 'ptgrcis1aq']","[('wishing', 'VBG'), ('everyone', 'NN'), ('merry', 'NN'), ('christmas', 'VBP'), ('happy', 'JJ'), ('holidays', 'NNS'), ('busy', 'JJ'), ('year', 'NN'), ('us', 'PRP'), ('busy', 'JJ'), ('building', 'VBG'), ('interesting', 'JJ'), ('features', 'NNS'), ('stayed', 'VBD'), ('tuned', 'VBD'), ('interesting', 'JJ'), ('news', 'NN'), ('christmas', 'NN'), ('agritech', 'NN'), ('happyholidays', 'VBZ'), ('iiitb', 'JJ'), ('ccamp', 'NN'), ('radiostud_io', 'NN'), ('iotracx', 'NN'), ('shyampurkpic', 'NN'), ('twitter', 'NN'), ('com', 'NN'), ('ptgrcis1aq', 'NN')]","['everyone', 'merry', 'holidays', 'year', 'features', 'news', 'christmas', 'agritech', 'ccamp', 'radiostud_io', 'iotracx', 'shyampurkpic', 'twitter', 'com', 'ptgrcis1aq']",0,0,5
12,our ph.d. student mr. shyam s.m. has been selected for the prestigious prime minister's doctoral fellowship offered jointly by serb and ficci. shyam joined iiitb in august 2018 to pursue ph.d. full time  under the supervision of prof. srinivas vivek. #iiitb #iiitb10100pic.twitter.com/vszzqr98s3,IIIT Bangalore,1209094761589592064,2019-12-23 12:53:49,"['IIITB', 'IIITB10100pic']",IIITB_official,5.0,12.0,1.0,0.0,Neutral,3,0.011467889908256881,0.0015741833923652105,0.7510407301900214,Our Ph.D student Mr Shyam S.M has been selected for the prestigious Prime Minister's doctoral fellowship offered jointly by SERB and FICCI Shyam joined IIITB in August 2018 to pursue Ph.D full time under the supervision of Prof Srinivas Vivek #IIITB #IIITB10100pic.twitter.com/Vszzqr98s3,"['ph', 'student', 'mr', 'shyam', 'selected', 'prestigious', 'prime', 'minister', 'doctoral', 'fellowship', 'offered', 'jointly', 'serb', 'ficci', 'shyam', 'joined', 'iiitb', 'august', '2018', 'pursue', 'ph', 'full', 'time', 'supervision', 'prof', 'srinivas', 'vivek', 'iiitb', 'iiitb10100pic', 'twitter', 'com', 'vszzqr98s3']","[('ph', 'JJ'), ('student', 'NN'), ('mr', 'NN'), ('shyam', 'NN'), ('selected', 'VBN'), ('prestigious', 'JJ'), ('prime', 'JJ'), ('minister', 'NN'), ('doctoral', 'JJ'), ('fellowship', 'NN'), ('offered', 'VBD'), ('jointly', 'RB'), ('serb', 'JJ'), ('ficci', 'NN'), ('shyam', 'NN'), ('joined', 'VBD'), ('iiitb', 'RB'), ('august', 'JJ'), ('2018', 'CD'), ('pursue', 'NN'), ('ph', 'CC'), ('full', 'JJ'), ('time', 'NN'), ('supervision', 'NN'), ('prof', 'NN'), ('srinivas', 'NN'), ('vivek', 'NN'), ('iiitb', 'NN'), ('iiitb10100pic', 'NN'), ('twitter', 'NN'), ('com', 'NN'), ('vszzqr98s3', 'NN')]","['student', 'mr', 'shyam', 'minister', 'fellowship', 'ficci', 'shyam', 'pursue', 'time', 'supervision', 'prof', 'srinivas', 'vivek', 'iiitb', 'iiitb10100pic', 'twitter', 'com', 'vszzqr98s3']",0,1,3
13,agroblock wishes kisan diwas to all the farmers who are the backbone of this country. lets work together bringing change in this sector. #kisandiwas #farmersday #agritech #blockchaintraceability #iiitb #ccamp @radiostud_io @iotracx @shyampurkpic.twitter.com/rfkadinoav,Agroblock,1209072927921958912,2019-12-23 11:27:04,"['kisandiwas', 'farmersday', 'agritech', 'blockchaintraceability', 'iiitb', 'ccamp']",agroblock_io,0.0,4.0,,0.1531,Positive,3,0.0,0.0005247277974550702,0.02098911189820281,AgroBlock wishes Kisan Diwas to all the farmers who are the backbone of this country Lets work together bringing change in this sector #kisandiwas #farmersday #agritech #blockchaintraceability #iiitb #ccamp @RadioStud_io @IoTracX @shyampurkpic.twitter.com/rfkadiNoaV,"['agroblock', 'wishes', 'kisan', 'diwas', 'farmers', 'backbone', 'country', 'lets', 'work', 'together', 'bringing', 'change', 'sector', 'kisandiwas', 'farmersday', 'agritech', 'blockchaintraceability', 'iiitb', 'ccamp', 'radiostud_io', 'iotracx', 'shyampurkpic', 'twitter', 'com', 'rfkadinoav']","[('agroblock', 'NN'), ('wishes', 'NNS'), ('kisan', 'VBP'), ('diwas', 'JJ'), ('farmers', 'NNS'), ('backbone', 'VBP'), ('country', 'NN'), ('lets', 'NNS'), ('work', 'VBP'), ('together', 'RB'), ('bringing', 'VBG'), ('change', 'NN'), ('sector', 'NN'), ('kisandiwas', 'NN'), ('farmersday', 'JJ'), ('agritech', 'JJ'), ('blockchaintraceability', 'NN'), ('iiitb', 'NN'), ('ccamp', 'NN'), ('radiostud_io', 'NN'), ('iotracx', 'NN'), ('shyampurkpic', 'NN'), ('twitter', 'NN'), ('com', 'NN'), ('rfkadinoav', 'NN')]","['agroblock', 'wishes', 'farmers', 'country', 'lets', 'change', 'sector', 'kisandiwas', 'blockchaintraceability', 'iiitb', 'ccamp', 'radiostud_io', 'iotracx', 'shyampurkpic', 'twitter', 'com', 'rfkadinoav']",0,1,3
14,superb #kohli #kohlidecadehttps://twitter.com/seervibharath/status/1208832913782894592 …,Harsh Dubey,1209069978479030272,2019-12-23 11:15:20,"['Kohli', 'kohlidecadehttps']",harsh_iiitb,0.0,0.0,,0.6249,Positive,5,0.0,0.0,0.0,Superb #Kohli # …,"['superb', 'kohli']","[('superb', 'NN'), ('kohli', 'NN')]","['superb', 'kohli']",0,0,5
15,"love your work, veena! you’re the best ... @andycoxall @edhermanufc @cpstudent",Gerard Shanahan,1208283808434274304,2019-12-21 07:11:23,[],gas3040,0.0,2.0,,0.8655,Positive,5,0.0,0.0002623638987275351,0.010494555949101404,Love your work Veena You’re the best .. @AndyCoxall @EdHermanufc @cpstudent,"['love', 'work', 'veena', 'best', 'andycoxall', 'edhermanufc', 'cpstudent']","[('love', 'NN'), ('work', 'NN'), ('veena', 'NN'), ('best', 'JJS'), ('andycoxall', 'NN'), ('edhermanufc', 'NN'), ('cpstudent', 'NN')]","['love', 'work', 'veena', 'andycoxall', 'edhermanufc', 'cpstudent']",0,0,5
16,"our last #gle for 2019, in my home city bangalore, comes to an end after many inspiring stories and equally inspired students. signing off for the year with a huge smile on my face, in anticipation of an equally exciting 2020.#gleleaders @kingsbschool @iiitb_official @deepakdjspic.twitter.com/3ualhmqvgl",Veena,1208184116614578176,2019-12-21 00:35:15,"['GLE', 'GLELeaders']",veena_haran,0.0,8.0,,0.9246,Positive,5,0.0,0.0010494555949101404,0.04197822379640562,Our last #GLE for 2019 in my home City Bangalore comes to an end after many inspiring stories and equally inspired students Signing off for the year with a huge smile on my face in anticipation of an equally exciting 2020.#GLELeaders @kingsbschool @IIITB_official @Deepakdjspic.twitter.com/3uaLHMqvGL,"['last', 'gle', '2019', 'home', 'city', 'bangalore', 'comes', 'end', 'many', 'inspiring', 'stories', 'equally', 'inspired', 'students', 'signing', 'year', 'huge', 'smile', 'face', 'anticipation', 'equally', 'exciting', '2020', 'gleleaders', 'kingsbschool', 'iiitb_official', 'deepakdjspic', 'twitter', 'com', '3ualhmqvgl']","[('last', 'JJ'), ('gle', 'NN'), ('2019', 'CD'), ('home', 'NN'), ('city', 'NN'), ('bangalore', 'NN'), ('comes', 'VBZ'), ('end', 'VBP'), ('many', 'JJ'), ('inspiring', 'VBG'), ('stories', 'NNS'), ('equally', 'RB'), ('inspired', 'JJ'), ('students', 'NNS'), ('signing', 'VBG'), ('year', 'NN'), ('huge', 'JJ'), ('smile', 'NN'), ('face', 'NN'), ('anticipation', 'NN'), ('equally', 'RB'), ('exciting', 'JJ'), ('2020', 'CD'), ('gleleaders', 'NNS'), ('kingsbschool', 'VBP'), ('iiitb_official', 'JJ'), ('deepakdjspic', 'NN'), ('twitter', 'NN'), ('com', 'NN'), ('3ualhmqvgl', 'CD')]","['gle', 'home', 'city', 'bangalore', 'stories', 'students', 'year', 'smile', 'face', 'anticipation', 'gleleaders', 'deepakdjspic', 'twitter', 'com']",0,1,5
17,but iiitb has 2000 students?,indian,1207827046862331904,2019-12-20 00:56:22,[],mkinthuk,0.0,0.0,,0.0,Neutral,3,0.0,0.0,0.0,But IIITB has 2000 students?,"['iiitb', '2000', 'students']","[('iiitb', 'NN'), ('2000', 'CD'), ('students', 'NNS')]","['iiitb', 'students']",0,0,3
18,"i didn't enroll, and iiitb is a fair trek. but i want to come if i can get in. how does one?",Nagarjun / നാഗാർജ്ജുൻ,1202876563206762496,2019-12-06 09:04:55,[],citizenkaun,0.0,0.0,,0.2732,Positive,4,0.0,0.0,0.0,I didn't enroll and IIITB is a fair trek But I want to come if I can get in How does one?,"['enroll', 'iiitb', 'fair', 'trek', 'want', 'come', 'get', 'one']","[('enroll', 'NN'), ('iiitb', 'NN'), ('fair', 'JJ'), ('trek', 'NN'), ('want', 'VBP'), ('come', 'VBN'), ('get', 'VBP'), ('one', 'CD')]","['enroll', 'iiitb', 'trek']",0,0,4
